,Absolute Magnetisations Per Spin
0,0.84375
1,0.96875
2,0.9375
3,1.0
4,0.9375
5,0.96875
6,0.90625
7,0.90625
8,0.9375
9,0.96875
10,0.90625
11,1.0
12,1.0
13,0.96875
14,0.9375
15,0.96875
16,1.0
17,0.96875
18,0.96875
19,1.0
20,0.96875
21,0.9375
22,0.90625
23,0.9375
24,0.90625
25,0.75
26,0.5
27,0.375
28,0.21875
29,0.4375
30,0.5
31,0.53125
32,0.5625
33,0.71875
34,0.59375
35,0.5625
36,0.59375
37,0.8125
38,0.71875
39,0.84375
40,0.90625
41,0.96875
42,0.9375
43,0.875
44,0.875
45,0.8125
46,0.96875
47,0.96875
48,0.9375
49,1.0
50,0.96875
51,0.90625
52,0.9375
53,0.96875
54,1.0
55,0.875
56,0.9375
57,0.90625
58,0.9375
59,0.9375
60,0.9375
61,0.9375
62,0.96875
63,1.0
64,1.0
65,0.9375
66,0.875
67,0.8125
68,0.875
69,0.6875
70,0.71875
71,0.90625
72,0.875
73,0.90625
74,0.90625
75,0.9375
76,0.96875
77,0.96875
78,1.0
79,0.9375
80,0.96875
81,0.96875
82,1.0
83,0.9375
84,0.9375
85,0.9375
86,0.875
87,0.8125
88,0.90625
89,0.96875
90,0.96875
91,0.96875
92,1.0
93,0.9375
94,1.0
95,1.0
96,0.96875
97,0.9375
98,0.9375
99,0.96875
100,0.9375
101,0.96875
102,1.0
103,0.9375
104,0.9375
105,0.90625
106,0.9375
107,0.96875
108,0.96875
109,1.0
110,0.96875
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,0.9375
118,0.875
119,0.875
120,0.9375
121,0.875
122,0.875
123,0.84375
124,0.8125
125,0.84375
126,0.84375
127,0.8125
128,0.84375
129,0.96875
130,1.0
131,0.90625
132,0.9375
133,0.90625
134,0.96875
135,0.90625
136,0.8125
137,0.9375
138,1.0
139,0.96875
140,1.0
141,0.96875
142,1.0
143,1.0
144,1.0
145,0.9375
146,0.84375
147,0.84375
148,0.8125
149,0.875
150,0.9375
151,1.0
152,0.9375
153,0.9375
154,1.0
155,0.84375
156,0.96875
157,0.875
158,0.9375
159,1.0
160,0.9375
161,1.0
162,0.90625
163,0.9375
164,0.96875
165,0.96875
166,0.9375
167,0.9375
168,0.96875
169,0.96875
170,1.0
171,1.0
172,0.9375
173,0.90625
174,0.875
175,0.96875
176,0.90625
177,0.96875
178,1.0
179,0.90625
180,0.9375
181,0.96875
182,0.96875
183,0.8125
184,0.9375
185,0.96875
186,0.8125
