,Temperatures,Mean Total Energies Per Spin,Mean Total Energies Errors Per Spin,Mean Absolute Magnetisations Per Spin,Mean Absolute Magnetisations Errors Per Spin,Scaled Specific Heat Capacities Per Spin,Susceptibilities Per Spin
0,1.0,-1.99688125,2.004200229009049e-08,0.999196875,5.2705326494415725e-09,0.0004016015234378223,2.7772958984484397e-05
1,1.13,-1.99244375,3.138306757605667e-08,0.998040625,8.419148208953175e-09,0.000771164508526185,6.271493881364198e-05
2,1.25,-1.98420625,4.6425051119826595e-08,0.995803125,1.2918679238559646e-08,0.0013791067750000253,0.00013348711718750295
3,1.38,-1.9709877901220987,7.351900108223741e-08,0.9921557034429656,2.1422561082294166e-08,0.002131966845064595,0.0002498061450149853
4,1.51,-1.9492836321636784,9.923874641830547e-08,0.9859338906610934,2.985332035294669e-08,0.003244502169464969,0.0004433510686493616
5,1.64,-1.9159516380655226,1.443279865277075e-07,0.9759240369614784,4.6713693586679684e-08,0.004480364157017461,0.0007697407377073408
6,1.76,-1.8740249609984398,1.8714214992568637e-07,0.9615722128885156,7.16935257154239e-08,0.0065406031262472755,0.0016894568868023646
7,1.89,-1.8144985701286884,2.5874488894211827e-07,0.9402663135317821,1.0770974039411468e-07,0.008530887894050302,0.0027939744973717977
8,2.02,-1.7329309112179905,3.16565408902322e-07,0.9060712660860523,1.616669713667793e-07,0.011178884272391321,0.005889324967590966
9,2.14,-1.6236175276494471,4.374536734086697e-07,0.8504042419151617,2.7105896194348097e-07,0.015224987006499465,0.012509331745704228
10,2.27,-1.4881787160641968,5.6158597362114e-07,0.7752971726413679,3.843644000444082e-07,0.018131839399893167,0.0192806437099426
11,2.4,-1.32901,6.628747918108797e-07,0.673045,5.07405926100833e-07,0.018618367170138882,0.026181884052083326
12,2.52,-1.1993494075296236,5.954772058575523e-07,0.5887346257687116,4.802909598353874e-07,0.016542086061918492,0.02711873065121392
13,2.65,-1.074714755704886,5.203745505241417e-07,0.49991687666246676,4.371340096938259e-07,0.014049494269504387,0.026272636739386946
14,2.78,-0.9595817626413623,4.2885990408860273e-07,0.42285600545950863,3.691441939291944e-07,0.010832172812804172,0.022311130256579503
15,2.9,-0.8927682107284292,3.5640253721141e-07,0.37613254530181206,3.0970675791834897e-07,0.008737465677685673,0.01913388988747333
16,3.03,-0.8305466945330546,2.9835864861517806e-07,0.3389719227807722,2.5696719509384293e-07,0.007283354185824315,0.016370131337807705
17,3.16,-0.7745778792212078,2.862932590806388e-07,0.309959712902871,2.4144289870415337e-07,0.006165772606090465,0.013857382812266358
18,3.29,-0.7276875,2.3523578642602186e-07,0.281109375,1.9378167553433514e-07,0.005111261776383246,0.011411497836127469
19,3.41,-0.6885875,2.2600394330510237e-07,0.260728125,1.8392841327321645e-07,0.004391737888713548,0.009918737717077531
20,3.54,-0.6558875,2.225834012733475e-07,0.248796875,1.7689329044884873e-07,0.003952684600829108,0.008837564483470162
